Year,Average of Avg. Temperature in Kelvin,Average of NDVI Avg. Number of pixel,Average of SNOW Avg. Number of Pixels
01-01-2001,271.344059,9418.25,6790.325
01-02-2001,273.9136632,12998.9,6497.1
01-03-2001,277.3168512,12748.55,6900.65
01-04-2001,283.7967981,13755.6,5850.5
01-05-2001,290.6490878,15193.8,4088.1
01-06-2001,290.7548333,14378.25,2491.05
01-07-2001,291.23104,15706.15,945.45
01-08-2001,290.2684984,15859.1,648.3
01-09-2001,291.9447398,16652.7,1379.375
01-10-2001,287.9716831,15737.75,2020.666667
01-11-2001,279.0535033,14600.6,5239.875
01-12-2001,269.8247815,13657.45,6346.625
01-01-2002,268.0870534,10473.9583,7719.875
01-02-2002,267.7377099,11311,8085.75
01-03-2002,276.9770144,13008.3,7348.8
01-04-2002,282.5856148,13517.75,6362.266667
01-05-2002,288.7829108,14765.85,4823.825
01-06-2002,292.1955264,15966,2560.725
01-07-2002,293.9464968,16465.1,897.9333333
01-08-2002,290.1231026,16054.1,932.9666666
01-09-2002,285.4344555,16042.6,3045
01-10-2002,284.6882677,15875.1,3328.325
01-11-2002,279.3021853,15136.35,3497.775
01-12-2002,273.1494338,14465,4263.55
01-01-2003,273.2032903,14024.85,3343.775
01-02-2003,268.5243639,11922.9,7532.15
01-03-2003,275.4903317,12817,6941.875
01-04-2003,282.4526726,13614.2,6569.900001
01-05-2003,286.6767405,14320.05,4970.95
01-06-2003,292.0531336,15328.3,2332.55
01-07-2003,290.7979687,15836.6,815.275
01-08-2003,290.3672734,15901.9,578.7000001
01-09-2003,289.5962827,15860.4,1136.825
01-10-2003,287.0935058,16186.05,2214.35
01-11-2003,278.7269446,14947.85,3919.825
01-12-2003,269.3145402,13755.1,5239.375
01-01-2004,266.4955286,12266.7,7200.55
01-02-2004,270.7901113,12445.55,7986.725
01-03-2004,282.1241055,13833.65,5968.95
01-04-2004,286.3816021,14056.9,4982.866667
01-05-2004,290.1016461,15162.7,4816.05
01-06-2004,291.7251691,16091,2213.725
01-07-2004,292.3645325,15990.3,890.325
01-08-2004,290.2564633,15950.1,824.4333333
01-09-2004,292.4595564,16653.6,1152.808333
01-10-2004,283.5329582,14739.1,5639.025
01-11-2004,277.9698322,14626.25,4841.2
01-12-2004,273.0675077,14108.6,5171.325
01-01-2005,264.5406939,11899.65,8282.1
01-02-2005,266.8615672,10988.35,6374.125
01-03-2005,275.9315273,12686.5,7410.6
01-04-2005,279.9529991,13418.7,6409.666667
01-05-2005,284.719351,14324.7,5346.55
01-06-2005,290.8649721,14660.75,3711.125
01-07-2005,289.8115671,15375.35,1978.025
01-08-2005,292.2086183,16843,1018.3
01-09-2005,290.27485,17063.95,2065.575
01-10-2005,285.4585613,16142.5,2760.666667
01-11-2005,279.3087572,15279.35,2788.025
01-12-2005,273.7887088,14753.7,3671.8
01-01-2006,267.1486377,12444.75,6478.85
01-02-2006,273.4964234,13101.65,6785.075
01-03-2006,275.7063534,13082.05,6974.3
01-04-2006,281.7917745,13839.4,6311.166667
01-05-2006,289.8450082,15281.4,4139.825
01-06-2006,291.5983313,15808.55,2239.15
01-07-2006,290.1059213,16306.85,1015.05
01-08-2006,288.2922965,17030.8,774.1333334
01-09-2006,290.0999203,16886.7,1551.35
01-10-2006,286.63551,15826.75,2631.358333
01-11-2006,277.519471,14697.25,4451.925
01-12-2006,269.1692455,13355.95,7476.425
01-01-2007,270.7068912,13641.35,6270.3
01-02-2007,269.6090783,12399.2,6999.3
01-03-2007,275.5855137,12287.3,7623.6
01-04-2007,286.4333636,14155.5,5695.233333
01-05-2007,288.8678638,15426.1,4007.275
01-06-2007,292.0340007,16206,2246.35
01-07-2007,291.372391,15955.15,1104.8
01-08-2007,290.9346142,16181.8,866.2666667
01-09-2007,289.2260126,16428.55,1603.175
01-10-2007,284.3833192,15597.7,3639.333333
01-11-2007,281.2951176,15115.2,2855.8
01-12-2007,271.084529,13790.4,5894.95
01-01-2008,264.7493775,12006.9,5629.4
01-02-2008,268.6734798,11568.3,7722.225
01-03-2008,278.6568181,13256.8,6495.475
01-04-2008,281.9126503,13617,6302.466666
01-05-2008,287.8304471,14333.8,4498.875
01-06-2008,289.9623865,14433.9,1881.775
01-07-2008,291.516687,13683.2,735.8
01-08-2008,289.310549,15648.6,951.3666667
01-09-2008,289.2197149,16617.4,2795.975
01-10-2008,283.2990997,15463.9,4796.275
01-11-2008,280.0561978,14969.2,4681.675
01-12-2008,272.5108549,14215.5,5760.3
01-01-2009,267.5611007,13177.85,7141.375
01-02-2009,270.9133989,13127.95,7089.6
01-03-2009,276.9018074,13341,6403.325
01-04-2009,283.4992811,13636.3,6165.133333
01-05-2009,286.8872677,14402.95,5151
01-06-2009,291.6994662,15605.5,3581.4
01-07-2009,292.0283139,16122.55,1841.5
01-08-2009,291.5468826,16962.6,935.3
01-09-2009,287.6026677,16344.5,4091.775
01-10-2009,283.9650595,15853.45,3534.525
01-11-2009,274.6137532,14530.2,5976.175
01-12-2009,268.3840785,13863.2,6358.4
01-01-2010,268.8965014,13665.7,7136.55
01-02-2010,269.813168,12657.65,7123.5
01-03-2010,280.1421597,13549.8,6549.5
01-04-2010,285.9229418,13945,5743.133333
01-05-2010,288.2662102,14864.6,4998.008333
01-06-2010,289.0900767,15828.35,3955.925
01-07-2010,288.2857814,15796.7,2167.825
01-08-2010,285.8501186,15349.2,1092.9
01-09-2010,287.5757325,16518.3,2266.2
01-10-2010,284.6981171,16126.55,4379.15
01-11-2010,278.9500528,14920.5,4603.425
01-12-2010,274.3109461,14668.15,4995.475
01-01-2011,264.8032156,12132.55,8368.275
01-02-2011,266.9927747,11967.9,5949.3
01-03-2011,276.2400154,12770.55,7185.8
01-04-2011,281.5118605,13377.55,6531.3
01-05-2011,288.4540056,14981.85,4876.425
01-06-2011,289.7529628,16127.05,3165.425
01-07-2011,290.6733075,15075.55,1156.9
01-08-2011,287.1285536,14118.6,1937.466667
01-09-2011,289.2637063,16524.55,1499.1
01-10-2011,286.2377639,16215.9,2677.825
01-11-2011,281.355818,15239,2811.025
01-12-2011,274.1501202,14722.9,4309.625
01-01-2012,265.5169608,11096.5,6906.425
01-02-2012,267.5162018,11660.6,7009.1
01-03-2012,275.9009004,12931.3,7001.3
01-04-2012,281.3559562,13699.6,5551.8
01-05-2012,287.6271257,14201.9,4869.975
01-06-2012,292.9707665,14675.3,3054.991667
01-07-2012,292.098604,14916.9,1319.425
01-08-2012,289.5216583,14188.4,678.7666667
01-09-2012,288.4533385,15926.5,1923.875
01-10-2012,284.4274942,16358.6,2954.9
01-11-2012,279.0494983,15343.3,3559.825
01-12-2012,270.2038889,13727.2,6439.075
01-01-2013,266.2820524,12146.05,7177.125
01-02-2013,267.7863055,11537.15,7929.5
01-03-2013,275.740334,12919.3,7376.1
01-04-2013,281.2315427,13740.15,6215.900001
01-05-2013,288.3065199,14771.45,5112.3
01-06-2013,290.8719666,16235.95,3386.675
01-07-2013,292.266897,16204.55,1140.008333
01-08-2013,287.4920815,15321.2,562.3
01-09-2013,288.7717867,16379.25,1300.225
01-10-2013,287.6036805,16062.4,2346.775
01-11-2013,277.4095648,14768.6,5071.2
01-12-2013,272.4823454,14200.3,5317.95
01-01-2014,266.870273,12575.5,7571.25
01-02-2014,266.0730553,11350.65,7262.175
01-03-2014,273.7268149,12441.25,7403.6
01-04-2014,280.3270896,13231.9,6891.8
01-05-2014,286.0054608,14272.35,5800.325
01-06-2014,290.7062784,15648.95,3722.858333
01-07-2014,290.6596576,13992.45,1671.758333
01-08-2014,292.6108219,17586.1,1107.216667
01-09-2014,290.4043689,16536.8,1373.725
01-10-2014,286.3156472,15998.6,2746.575
01-11-2014,279.8930775,15129.95,3518.375
01-12-2014,270.8905727,13928.25,6518.925
01-01-2015,266.9996428,12777.05,7693.075
01-02-2015,268.0283698,11710.75,7672.5
01-03-2015,273.8053774,12152.75,7286.4
01-04-2015,281.8150997,13444.85,6705.600001
01-05-2015,286.815219,14749.5,5459
01-06-2015,289.9681222,15832,3687.45
01-07-2015,290.6040599,15999.4,1700.175
01-08-2015,289.4186347,17763.9,969.4
01-09-2015,290.8234305,17180,2027.225
01-10-2015,285.7855985,16055.7,3590.225
01-11-2015,278.0225173,14734.8,5685.3
01-12-2015,271.5356568,14017.95,6327.45
01-01-2016,270.5158041,13695.4,6437.575
01-02-2016,272.8635341,13463.8,7440.6
01-03-2016,277.6023408,13569.8,6530.95
01-04-2016,282.1468363,14136.1,6084.2
01-05-2016,290.4209763,15401.1,4318.575
01-06-2016,293.161152,15903.6,2039.05
01-07-2016,290.4967003,14758.6,702.1
01-08-2016,288.5294417,16019.8,555.6333334
01-09-2016,290.6257961,16581.7,1127.6
01-10-2016,288.7477102,16149.4,1338.825
01-11-2016,282.2154463,15316.7,1387.275
01-12-2016,278.7696993,14919.6,2680.25
01-01-2017,267.4536317,12258.8,7572.15
01-02-2017,270.4174723,12972.2,7176.825
01-03-2017,277.4707927,13182.8,7221.15
01-04-2017,284.8658729,14264.3,6487.4
01-05-2017,287.8263198,15080.4,5481.075
01-06-2017,290.8667194,15530.3,4591.575
01-07-2017,289.3304675,11824.5,3267.6
01-08-2017,291.2796254,17010.6,2219.766667
01-09-2017,290.440603,17034.3,2977.425
01-10-2017,288.2229625,16347.4,3291.925
01-11-2017,279.2137169,15226.7,4468.9
01-12-2017,271.7781219,14282.1,6779.725
